                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6146,                0.54925,                 1.0716,                0.89448,                0.59913,                0.68051,                0.56074,                0.68616,                0.70198,                 1.1567,             0.00036307,             0.00036307,             0.00036307
                     36,                 0.5947,                0.53524,                 1.0591,                0.64178,                0.70157,                0.68448,                0.56717,                0.69792,                0.68533,                 1.1658,             0.00034108,             0.00034108,             0.00034108
                     37,                0.61837,                0.52748,                 1.0741,                0.78558,                0.75414,                0.77763,                0.64953,                 0.6776,                0.65937,                 1.1796,             0.00031908,             0.00031908,             0.00031908
                     38,                0.58772,                0.50295,                 1.0598,                0.90528,                0.62968,                0.69237,                0.56582,                 0.6829,                0.65432,                 1.1707,             0.00029708,             0.00029708,             0.00029708
                     39,                0.55041,                0.49234,                 1.0472,                0.86838,                 0.6196,                0.66782,                0.55568,                0.67537,                 0.6669,                 1.1792,             0.00027508,             0.00027508,             0.00027508
                     40,                0.55406,                0.48456,                 1.0323,                0.87488,                0.63038,                0.67173,                0.54953,                0.68068,                0.64965,                 1.1761,             0.00025309,             0.00025309,             0.00025309
                     41,                 0.4865,                0.42332,                0.99167,                0.87304,                  0.624,                0.65745,                0.53888,                 0.6816,                0.65602,                 1.1671,             0.00023109,             0.00023109,             0.00023109
                     42,                0.48475,                0.41051,                 1.0013,                0.87359,                0.61381,                0.66078,                0.54649,                 0.6754,                0.66947,                 1.1722,             0.00020909,             0.00020909,             0.00020909
                     43,                0.48138,                0.40349,                0.98803,                0.88128,                0.62793,                0.66595,                0.54597,                0.67356,                0.62355,                 1.1664,             0.00018709,             0.00018709,             0.00018709
                     44,                0.46275,                0.36752,                0.98551,                0.87821,                0.63457,                0.66746,                0.54796,                0.68538,                0.64911,                 1.1785,             0.00016509,             0.00016509,             0.00016509
                     45,                0.45267,                0.35812,                0.96452,                0.89336,                0.60026,                0.66381,                 0.5527,                0.66931,                0.66314,                  1.171,              0.0001431,              0.0001431,              0.0001431
                     46,                0.44736,                0.35919,                0.96543,                0.86478,                 0.6308,                0.66781,                0.55687,                 0.6613,                0.63265,                 1.1599,              0.0001211,              0.0001211,              0.0001211
                     47,                0.43314,                0.34416,                0.95757,                 0.8669,                0.62845,                0.66824,                0.55497,                0.66339,                0.63489,                 1.1645,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.42248,                0.34219,                0.95623,                0.88936,                0.62442,                 0.6675,                0.55826,                0.65871,                0.63382,                 1.1616,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.42653,                0.33187,                0.96103,                0.88573,                0.63705,                0.67279,                0.55853,                0.65602,                0.61743,                 1.1621,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.41704,                0.32888,                0.94346,                0.87841,                0.63911,                0.67664,                0.55957,                0.66505,                0.63164,                 1.1741,             3.3108e-05,             3.3108e-05,             3.3108e-05
